Time,Close,Difference
3/18/2020,16451,-316
3/19/2020,15739,-712
3/20/2020,15739,0
3/23/2020,14671,-1068
3/24/2020,14473,-198
3/25/2020,15264,791
3/26/2020,15304,40
3/27/2020,15264,-40
3/30/2020,14315,-949
3/31/2020,14078,-237
4/1/2020,14631,553
4/3/2020,15264,633
4/6/2020,16332,1068
4/7/2020,16055,-277
4/8/2020,15660,-395
4/9/2020,16332,672
4/10/2020,17439,1107
4/13/2020,18625,1186
4/14/2020,18546,-79
4/15/2020,19140,594
4/16/2020,19258,118
4/17/2020,20445,1187
4/20/2020,21868,1423
4/21/2020,21512,-356
4/22/2020,21512,0
4/23/2020,21987,475
4/24/2020,21631,-356
4/27/2020,20998,-633
4/28/2020,20642,-356
4/29/2020,21275,633
5/4/2020,20642,-633
5/5/2020,20563,-79
5/6/2020,20880,317
5/7/2020,21117,237
5/8/2020,21315,198
5/11/2020,21275,-40
5/12/2020,21315,40
5/13/2020,22105,790
5/14/2020,21908,-197
5/15/2020,21631,-277
5/18/2020,21235,-396
5/19/2020,21394,159
5/20/2020,21552,158
5/21/2020,21591,39
5/22/2020,21275,-316
5/25/2020,21196,-79
5/26/2020,21631,435
5/27/2020,22145,514
5/28/2020,21987,-158
5/29/2020,21750,-237
6/1/2020,21908,158
6/2/2020,21710,-198
6/3/2020,21631,-79
6/4/2020,22026,395
6/5/2020,22343,317
6/8/2020,22738,395
6/9/2020,23845,1107
6/10/2020,23648,-197
6/11/2020,22145,-1503
6/12/2020,21987,-158
6/15/2020,21512,-475
6/16/2020,22145,633
6/17/2020,22105,-40
6/18/2020,21789,-316
6/19/2020,21631,-158
6/22/2020,21354,-277
6/23/2020,21433,79
6/24/2020,21354,-79
6/25/2020,21117,-237
6/26/2020,20800,-317
6/29/2020,19693,-1107
6/30/2020,19851,158
7/1/2020,20326,475
7/2/2020,20247,-79
7/3/2020,20484,237
7/6/2020,20563,79
7/7/2020,20761,198
7/8/2020,20800,39
7/9/2020,21038,238
7/10/2020,20880,-158
7/13/2020,20761,-119
7/14/2020,20880,119
7/15/2020,20919,39
7/16/2020,20840,-79
7/17/2020,20721,-119
7/20/2020,20563,-158
7/21/2020,20484,-79
7/22/2020,20405,-79
7/23/2020,20405,0
7/24/2020,19258,-1147
7/27/2020,17914,-1344
7/28/2020,18190,276
7/29/2020,17123,-1067
7/30/2020,17400,277
7/31/2020,17162,-238
8/3/2020,17637,475
8/4/2020,18230,593
8/5/2020,18981,751
8/6/2020,18784,-197
8/7/2020,18705,-79
8/10/2020,18705,0
8/11/2020,18625,-80
8/12/2020,19021,396
8/13/2020,19772,751
8/14/2020,19456,-316
8/17/2020,19060,-396
8/18/2020,19060,0
8/19/2020,19219,159
8/20/2020,19060,-159
8/21/2020,19140,80
8/24/2020,19337,197
8/25/2020,19614,277
8/26/2020,19535,-79
8/27/2020,19456,-79
8/28/2020,19495,39
8/31/2020,20326,831
9/1/2020,20959,633
9/3/2020,20880,-79
9/4/2020,20721,-159
9/7/2020,20721,0
9/8/2020,20721,0
9/9/2020,20721,0
9/10/2020,20721,0
9/11/2020,20721,0
9/14/2020,21552,831
9/15/2020,21315,-237
9/16/2020,21275,-40
9/17/2020,21196,-79
9/18/2020,21235,39
9/21/2020,21235,0
9/22/2020,21077,-158
9/23/2020,21235,158
9/24/2020,21156,-79
9/25/2020,21117,-39
9/28/2020,21117,0
9/29/2020,21156,39
9/30/2020,21117,-39
10/1/2020,21591,474
10/2/2020,21235,-356
10/5/2020,21433,198
10/6/2020,21275,-158
10/7/2020,21077,-198
10/8/2020,21077,0
10/9/2020,21117,40
10/12/2020,20840,-277
10/13/2020,20761,-79
10/14/2020,20761,0
10/15/2020,20761,0
10/16/2020,20603,-158
10/19/2020,20642,39
10/20/2020,20286,-356
10/21/2020,20010,-276
10/22/2020,20207,197
10/23/2020,20405,198
10/26/2020,20326,-79
10/27/2020,20128,-198
10/28/2020,19535,-593
10/29/2020,19456,-79
10/30/2020,19654,198
11/2/2020,19535,-119
11/3/2020,19772,237
11/4/2020,19970,198
11/5/2020,19891,-79
11/6/2020,19693,-198
11/9/2020,20563,870
11/10/2020,21750,1187
11/11/2020,21354,-396
11/12/2020,21196,-158
11/13/2020,21473,277
11/16/2020,21196,-277
11/17/2020,21433,237
11/18/2020,21591,158
11/19/2020,21354,-237
11/20/2020,21512,158
11/23/2020,21354,-158
11/24/2020,21156,-198
11/25/2020,21235,79
11/26/2020,21117,-118
11/27/2020,21156,39
11/30/2020,21117,-39
12/1/2020,20919,-198
12/2/2020,20721,-198
12/3/2020,20682,-39
12/4/2020,20880,198
12/7/2020,21038,158
12/8/2020,21077,39
12/9/2020,21235,158
12/10/2020,20998,-237
12/11/2020,21710,712
12/14/2020,21908,198
12/15/2020,21908,0
12/16/2020,22540,632
12/17/2020,22145,-395
12/18/2020,22264,119
12/21/2020,22343,79
12/22/2020,22184,-159
12/23/2020,21947,-237
12/24/2020,21631,-316
12/25/2020,22264,633
12/28/2020,22264,0
12/29/2020,22382,118
12/30/2020,22422,40
12/31/2020,22382,-40
1/4/2021,22580,198
1/5/2021,22382,-198
1/6/2021,22264,-118
1/7/2021,22619,355
1/8/2021,23094,475
1/11/2021,24676,1582
1/12/2021,25309,633
1/13/2021,24597,-712
1/14/2021,24359,-238
1/15/2021,24399,40
1/18/2021,24241,-158
1/19/2021,22619,-1622
1/20/2021,22699,80
1/21/2021,23292,593
1/22/2021,23094,-198
1/25/2021,23015,-79
1/26/2021,22224,-791
1/27/2021,21552,-672
1/28/2021,20049,-1503
1/29/2021,20445,396
2/1/2021,19851,-594
2/2/2021,20010,159
2/3/2021,20682,672
2/4/2021,20642,-40
2/5/2021,20959,317
2/8/2021,20207,-752
2/9/2021,20840,633
2/17/2021,21552,712
2/18/2021,21552,0
2/19/2021,21275,-277
2/22/2021,21750,475
2/23/2021,22619,869
2/24/2021,22778,159
2/25/2021,22936,158
2/26/2021,23687,751
3/1/2021,24834,1147
3/2/2021,24755,-79
3/3/2021,24439,-316
3/4/2021,23648,-791
3/5/2021,24241,593
3/8/2021,24083,-158
3/9/2021,23845,-238
3/10/2021,24359,514
3/11/2021,24280,-79
3/12/2021,24083,-197
3/15/2021,23885,-198
3/16/2021,23964,79
3/17/2021,24359,395
3/18/2021,25625,1266
3/19/2021,26534,909
3/22/2021,26495,-39
3/23/2021,25783,-712
3/24/2021,24913,-870
3/25/2021,25585,672
3/26/2021,25309,-276
3/29/2021,25941,632
3/30/2021,25783,-158
3/31/2021,25823,40
4/1/2021,26732,909
4/2/2021,26534,-198
4/5/2021,26416,-118
4/6/2021,26139,-277
4/7/2021,26099,-40
4/8/2021,26337,238
4/9/2021,26218,-119
4/12/2021,25941,-277
4/13/2021,25348,-593
4/14/2021,25309,-39
4/15/2021,24992,-317
4/16/2021,24518,-474
4/19/2021,24478,-40
4/20/2021,24676,198
4/22/2021,23885,-791
4/23/2021,23885,0
4/26/2021,22778,-1107
4/27/2021,22738,-40
4/28/2021,22778,40
4/29/2021,22936,158
5/4/2021,21591,-1345
5/5/2021,22145,554
5/6/2021,21987,-158
5/7/2021,21512,-475
5/10/2021,21038,-474
5/11/2021,21829,791
5/12/2021,22066,237
5/13/2021,21591,-475
5/14/2021,21591,0
5/17/2021,21631,40
5/18/2021,21433,-198
